Field,Pair_Number,Bag_Type,Set_Weight,Set_Date,Collection_Date,Collection_Weight
FN,1,Standard,2,6/28/21,Sep-27-2021,1.155
FN,1,Litter,2,6/28/21,Sep-27-2021,0.852
FN,2,Standard,2,6/28/21,Sep-27-2021,1.188
FN,2,Litter,2,6/28/21,Sep-27-2021,0.925
FN,3,Standard,2,6/28/21,Sep-27-2021,0.961
FN,3,Litter,2,6/28/21,Sep-27-2021,0.94
FN,4,Standard,2,6/28/21,Sep-27-2021,1.19
FN,4,Litter,2,6/28/21,Sep-27-2021,0.81
FN,5,Standard,2,6/28/21,Sep-27-2021,1.177
FN,5,Litter,2,6/28/21,Sep-27-2021,0.884
FN,6,Standard,2,6/28/21,Sep-27-2021,1.154
FN,6,Litter,2,6/28/21,Sep-27-2021,0.946
FN,7,Standard,2,6/28/21,Sep-27-2021,1.08
FN,7,Litter,2,6/28/21,Sep-27-2021,0.852
FN,8,Standard,2,6/28/21,Sep-27-2021,1.278
FN,8,Litter,2,6/28/21,Sep-27-2021,1.106
FN,9,Standard,2,6/28/21,Sep-27-2021,1.185
FN,9,Litter,2,6/28/21,Sep-27-2021,0.928
FN,10,Standard,2,6/28/21,Sep-27-2021,1.186
FN,10,Litter,2,6/28/21,Sep-27-2021,1.18
SC,1,Standard,2,7/9/21,Sep-28-2021,1.24
SC,1,Litter,2,7/9/21,Sep-28-2021,0.961
SC,2,Standard,2,7/9/21,Sep-28-2021,1.208
SC,2,Litter,2,7/9/21,Sep-28-2021,1.053
SC,3,Standard,2,7/9/21,Sep-28-2021,1.217
SC,3,Litter,2,7/9/21,Sep-28-2021,1.016
SC,4,Standard,2,7/9/21,Sep-28-2021,1.188
SC,4,Litter,2,7/9/21,Sep-28-2021,0.91
SC,5,Standard,2,7/9/21,Sep-28-2021,1.108
SC,5,Litter,2,7/9/21,Sep-28-2021,0.973
SC,6,Standard,2,7/9/21,Sep-28-2021,1.217
SC,6,Litter,2,7/9/21,Sep-28-2021,0.979
SC,7,Standard,2,7/9/21,Sep-28-2021,1.249
SC,7,Litter,2,7/9/21,Sep-28-2021,0.906
SC,8,Standard,2,7/9/21,Sep-28-2021,1.176
SC,8,Litter,2,7/9/21,Sep-28-2021,0.983
SC,9,Standard,2,7/9/21,Sep-28-2021,1.126
SC,9,Litter,2,7/9/21,Sep-28-2021,0.915
SC,10,Standard,2,7/9/21,Sep-28-2021,1.262
SC,10,Litter,2,7/9/21,Sep-28-2021,0.829
DC,1,Standard,2,6/29/21,Sep-20-2021,1.207
DC,1,Litter,2,6/29/21,Sep-20-2021,1.034
DC,2,Standard,2,6/29/21,Sep-20-2021,1.251
DC,2,Litter,2,6/29/21,Sep-20-2021,0.928
DC,3,Standard,2,6/29/21,Sep-20-2021,1.217
DC,3,Litter,2,6/29/21,Sep-20-2021,0.955
DC,4,Standard,2,6/29/21,Sep-20-2021,1.246
DC,4,Litter,2,6/29/21,Sep-20-2021,1.146
DC,5,Standard,2,6/29/21,Sep-20-2021,1.183
DC,5,Litter,2,6/29/21,Sep-20-2021,0.867
DC,6,Standard,2,6/29/21,Sep-20-2021,1.245
DC,6,Litter,2,6/29/21,Sep-20-2021,0.969
DC,7,Standard,2,6/29/21,Sep-20-2021,1.226
DC,7,Litter,2,6/29/21,Sep-20-2021,1.017
DC,8,Standard,2,6/29/21,Sep-20-2021,1.218
DC,8,Litter,2,6/29/21,Sep-20-2021,0.839
DC,9,Standard,2,6/29/21,Sep-20-2021,1.295
DC,9,Litter,2,6/29/21,Sep-20-2021,0.994
DC,10,Standard,2,6/29/21,Sep-20-2021,1.168
DC,10,Litter,2,6/29/21,Sep-20-2021,0.845
YF,1,Standard,2,7/5/21,Sep-13-2021,1.175
YF,1,Litter,2,7/5/21,Sep-13-2021,1.039
YF,2,Standard,2,7/5/21,Sep-13-2021,1.126
YF,2,Litter,2,7/5/21,Sep-13-2021,1.007
YF,3,Standard,2,7/5/21,Sep-13-2021,1.207
YF,3,Litter,2,7/5/21,Sep-13-2021,0.968
YF,4,Standard,2,7/5/21,Sep-13-2021,1.525
YF,4,Litter,2,7/5/21,Sep-13-2021,1.108
YF,5,Standard,2,7/5/21,Sep-13-2021,1.25
YF,5,Litter,2,7/5/21,Sep-13-2021,0.919
YF,6,Standard,2,7/5/21,Sep-13-2021,1.336
YF,6,Litter,2,7/5/21,Sep-13-2021,1.134
YF,7,Standard,2,7/5/21,Sep-13-2021,1.281
YF,7,Litter,2,7/5/21,Sep-13-2021,0.9
YF,8,Standard,2,7/5/21,Sep-13-2021,1.291
YF,8,Litter,2,7/5/21,Sep-13-2021,0.943
YF,9,Standard,2,7/5/21,Sep-13-2021,1.262
YF,9,Litter,2,7/5/21,Sep-13-2021,1.192
YF,10,Standard,2,7/5/21,Sep-13-2021,1.486
YF,10,Litter,2,7/5/21,Sep-13-2021,1.168
UP,1,Standard,2,7/8/21,Sep-25-2021,1.249
UP,1,Litter,2,7/8/21,Sep-25-2021,0.896
UP,2,Standard,2,7/8/21,Sep-25-2021,1.172
UP,2,Litter,2,7/8/21,Sep-25-2021,0.783
UP,3,Standard,2,7/8/21,Sep-25-2021,1.234
UP,3,Litter,2,7/8/21,Sep-25-2021,0.873
UP,4,Standard,2,7/8/21,Sep-25-2021,1.23
UP,4,Litter,2,7/8/21,Sep-25-2021,0.992
UP,5,Standard,2,7/8/21,Sep-25-2021,1.251
UP,5,Litter,2,7/8/21,Sep-25-2021,0.91
UP,6,Standard,2,7/8/21,Sep-25-2021,1.235
UP,6,Litter,2,7/8/21,Sep-25-2021,0.956
UP,7,Standard,2,7/8/21,Sep-25-2021,1.229
UP,7,Litter,2,7/8/21,Sep-25-2021,0.982
UP,8,Standard,2,7/8/21,Sep-25-2021,1.253
UP,8,Litter,2,7/8/21,Sep-25-2021,0.995
UP,9,Standard,2,7/8/21,Sep-25-2021,1.243
UP,9,Litter,2,7/8/21,Sep-25-2021,1.016
UP,10,Standard,2,7/8/21,Sep-25-2021,1.239
UP,10,Litter,2,7/8/21,Sep-25-2021,1.134