Site,Plot,Biomass_Bag_kg,Bag_kg,Biomass_kg,SORU,POPRC,MISC,SampleDate,Year
DC,A,0.1,0.04,0.06,0,50,50,9/20/23,2023
DC,B,0.08,0.04,0.04,10,90,0,9/20/23,2023
DC,C,0.08,0.04,0.04,5,10,85,9/20/23,2023
DC,D,0.13,0.04,0.09,40,50,10,9/20/23,2023
DC,E,0.18,0.04,0.14,60,30,10,9/20/23,2023
DC,F,0.1,0.04,0.06,0,20,80,9/20/23,2023
DC,G,0.12,0.04,0.08,35,25,40,9/20/23,2023
DC,H,0.08,0.04,0.04,10,40,50,9/20/23,2023
DC,I,0.16,0.04,0.12,90,5,5,9/20/23,2023
DC,J,0.09,0.04,0.05,5,10,85,9/20/23,2023
FN,A,0.14,0.05,0.09,0,30,70,9/16/23,2023
FN,B,0.16,0.04,0.12,25,25,50,9/16/23,2023
FN,C,0.17,0.05,0.12,0,50,50,9/16/23,2023
FN,D,0.14,0.04,0.1,0,95,5,9/16/23,2023
FN,E,0.36,0.04,0.32,90,5,5,9/16/23,2023
FN,F,0.14,0.04,0.1,40,25,35,9/16/23,2023
FN,G,0.1,0.04,0.06,20,20,60,9/16/23,2023
FN,I,0.1,0.04,0.06,25,60,15,9/16/23,2023
FN,H,0.2,0.04,0.16,40,50,10,9/16/23,2023
FN,J,0.15,0.04,0.11,70,20,10,9/16/23,2023
SC,A,0.12,0.04,0.08,0,80,20,9/16/23,2023
SC,B,0.11,0.04,0.07,0,98,2,9/16/23,2023
SC,C,0.12,0.04,0.08,15,70,15,9/16/23,2023
SC,D,0.12,0.04,0.08,10,30,60,9/16/23,2023
SC,E,0.13,0.04,0.09,33,33,34,9/16/23,2023
SC,F,0.14,0.04,0.1,45,50,5,9/16/23,2023
SC,G,0.16,0.04,0.12,60,30,10,9/16/23,2023
SC,H,0.18,0.04,0.14,90,10,0,9/16/23,2023
SC,I,0.13,0.04,0.09,35,60,5,9/16/23,2023
SC,J,0.12,0.04,0.08,15,50,35,9/16/23,2023
UP,A,0.14,0.04,0.1,10,80,10,9/18/23,2023
UP,B,0.14,0.04,0.1,5,90,5,9/18/23,2023
UP,C,0.18,0.04,0.14,0,20,80,9/18/23,2023
UP,D,0.34,0.04,0.3,30,10,60,9/18/23,2023
UP,E,0.28,0.04,0.24,0,50,50,9/18/23,2023
UP,F,0.18,0.04,0.14,35,25,40,9/18/23,2023
UP,G,0.17,0.04,0.13,70,10,20,9/18/23,2023
UP,H,0.14,0.04,0.1,40,30,30,9/18/23,2023
UP,I,0.14,0.04,0.1,0,73,27,9/18/23,2023
UP,J,0.2,0.04,0.16,90,5,5,9/18/23,2023
YF,A,0.12,0.04,0.08,0,95,5,9/17/23,2023
YF,B,0.16,0.04,0.12,20,40,40,9/17/23,2023
YF,C,0.14,0.04,0.1,50,20,30,9/17/23,2023
YF,D,0.2,0.04,0.16,85,10,5,9/17/23,2023
YF,E,0.2,0.04,0.16,20,15,65,9/17/23,2023
YF,F,0.28,0.04,0.24,20,2,78,9/17/23,2023
YF,G,0.14,0.04,0.1,5,35,60,9/17/23,2023
YF,H,0.16,0.04,0.12,0,20,80,9/17/23,2023
YF,I,0.26,0.04,0.22,90,0,10,9/17/23,2023
YF,J,0.18,0.04,0.14,0,30,70,9/17/23,2023